name,description,occupation,main_category,instagram_talent,youtube_talent,goal,facebook,tiktok,x_twitter,linkedin,talent_card_image_url,talent_profile_image_url,club,city,prize1,prize2,prize3,prize4,prize5,main_nationality,birthdate,card_video
evansantangelo,"Evan Santangelo is a passionate skydiver and content creator based in the United States. With a deep love for adventure and aerial sports, Evan has dedicated himself to capturing and sharing the exhilarating experiences of skydiving through various media platforms. He actively participates in organizing skydiving events and is known for his creative video edits that showcase the beauty and thrill of the sport. Evan's commitment to safety and community building within the skydiving world has made him a respected figure among fellow enthusiasts.",Skydiving,Extreme Sports,evansantangelo,evansantangelo,🪂 Produce skydiving documentaries showcasing the coolest stunts and the legends of the sport!,,,,,https://media.peaxel.me/58.png,https://media.peaxel.me/57.png,,,,,,,,🇺🇸 United States,1992-11-20,https://media.peaxel.me/evansantangelo.mp4
geoffrey_trailer,"Geoffrey Ostermann is a dedicated French trail and ultra runner who has made significant strides in the endurance sports community. His journey into running began after a 13-year commitment to judo, which he started at the age of five. Unfortunately, due to surgical interventions on both knees, Geoffrey had to step away from judo. Approximately a year and a half later, he found a new passion in trail running, focusing on distances ranging from 20 to 25 kilometers, as well as participating in semi-marathons. Geoffrey's disciplined training regimen includes around 10 hours of running per week, typically spread over four sessions. He places a strong emphasis on nutrition, particularly during races, to optimize his performance. Geoffrey's dedication to the sport is evident through his consistent participation in various races, including the Trail du Petit Ballon (16 km), Trail du Vieil Armand (22 km), Trail du Pays de Welches (24 km), Trail du Haut Koenigsbourg (25 km), and the Semi-Marathon de Strasbourg. His commitment to setting progressively challenging goals showcases his determination to surpass personal limits and achieve excellence in trail and ultra running.
  ",Ultra Running,Adventure,geoffrey_trailer,,⭐ Be The Best In Ultra Running,,,,,https://media.peaxel.me/154.png,https://media.peaxel.me/153.png,,Strasbourg,"Finisher, Trail du Petit Ballon (16 km) ","Finisher, Trail du Vieil Armand (22 km) ","Finisher, Trail du Pays de Welches (24 km)","Finisher, Trail du Haut Koenigsbourg","Finisher, Semi-Marathon de Strasbourg",🇫🇷 France,1992-07-10,https://media.peaxel.me/geoffrey_trailer.mp4
gregorio_pugliese,"Gregorio Pugliese, born in 1999, is a professional wingfoil athlete from Livorno, Italy. He began his journey in water sports at the age of 12, starting with windsurfing. In July 2020, while working as a windsurf instructor, Gregorio was introduced to wingfoiling and quickly developed a passion for the sport. His background in windsurfing facilitated a smooth transition, allowing him to progress rapidly in wingfoiling. Gregorio made his competitive debut at the GWA Wingfoil World Tour event in Tarifa in 2020. Over the years, he has participated in various national and international competitions, showcasing his skills in both Surf-Freestyle and Surf-Slalom disciplines. In 2021, he secured second place in the Race category at the Italian Championship. By the end of 2022, Gregorio achieved a ninth-place ranking in the overall standings of the GWA Wingfoil World Tour, competing in both Race and Freestyle categories. In February 2024, he joined the Ozone team, aligning with a brand known for its innovation and commitment to sustainability. Gregorio continues to push the boundaries of wingfoiling, aiming for podium finishes in upcoming competitions and contributing to the sport's evolution.
  ",Wingfoil,Water Sports,gregorio_pugliese_,gregoriopugliesewing,⭐ Be The Best In Wingfoil,,,,,https://media.peaxel.me/152.png,https://media.peaxel.me/151.png,Ozone Team,Livorno,Second place in Race category at Italian Championship - 2021,Ninth place in overall standings of GWA Wingfoil World Tour - 2022,PRIZE_SPECIAL_KALPAK,,,🇮🇹 Italy,1999-10-27,https://media.peaxel.me/gregorio_pugliese.mp4
jakexbarry,"Jake Barry is an accomplished Irish gymnast specializing in Men's Artistic Gymnastics. He has represented Ireland in various international competitions, including the 18th Austrian Future Cup held in Linz, Austria, on November 17-18, 2023. Jake is a member of the Douglas Gymnastics Club and has been selected for the Gymnastics Ireland Men's Artistic National Squad for the 2024-2025 season. His dedication to the sport is evident through his consistent participation in national and international events, showcasing his skills and contributing to the growth of gymnastics in Ireland.",Gymnastics,Olympic Sports,jakexbarry,,🤸 Put world championships in sight,,,,,https://media.peaxel.me/50.png,https://media.peaxel.me/49.png,Douglas Gymnastics Club,Cork,All Ireland Gold Medal in 2023,Selection to Gymnastics Ireland Men's Artistic National Squad in 2024,Participation in 18th Austrian Future Cup in 2023,,,🇮🇪 Ireland,2006-06-28,https://media.peaxel.me/jakexbarry.mp4
jamie_overbeek,"Jamie Overbeek, born in the Netherlands, is a professional kiteboarder specializing in Big Air and Hydrofoil disciplines. He began his journey with kites at the age of six, influenced by his father, and transitioned to kiteboarding at nine. Jamie quickly became known for his record-breaking jumps and daring tricks. At 14, he set a national record with a 31.4-meter jump and later achieved a 35.3-meter jump, marking one of the highest recorded in the sport. In 2022, at just 16, Jamie secured second place in his first Red Bull King of the Air competition, becoming the youngest athlete to podium at this prestigious event. His relentless drive and passion for kiteboarding have made him a prominent figure in the sport.
  ",Kiteboarding,Water Sports,jamie_overbeek,,"🏄‍♂️ Win Red Bull King of the Air (KOTA), held yearly in Cape Town, and become the best in the sport.",,,,,https://media.peaxel.me/120.png,https://media.peaxel.me/119.png,F-ONE,Workum,"Second place at Red Bull King of the Air – November 26, 2022",Vice-World Champion in Kite Foil Big Air – 2022,Vice-World Champion in Kite Foil Big Air – 2023,Vice-World Champion in Twin-Tip Big Air – 2024,"Winner of the Lords of Tram – April 17, 2024",🇳🇱 Netherlands,2005-12-23,https://media.peaxel.me/jamie_overbeek.mp4
JeremiahMartinelli,"Jeremiah Martinelli is an American basketball player and content creator known for his dedication to the sport and engaging online presence. He has shared his basketball journey through various social media platforms, including TikTok and YouTube, where he provides insights into his training routines, experiences, and personal life. Jeremiah has documented his recovery from a knee injury sustained during his time at UCLA, offering inspiration to fellow athletes facing similar challenges. His content often features training sessions, day-in-the-life vlogs, and motivational messages aimed at encouraging perseverance and hard work. Beyond his athletic pursuits, Jeremiah has collaborated with brands and engaged with a growing online community, amassing a significant following across his social media channels. His commitment to basketball and content creation continues to inspire and connect with audiences worldwide.
  ",Basketball,Team Sports,JeremiahMartinelli,JeremiahMartinelli,⭐ Be The Best In Basketball,,,,,https://media.peaxel.me/22.png,https://media.peaxel.me/21.png,,Los Angeles,,,,,,🇺🇸 United States,2002-04-15,
KubicekRacing,"Lukass Kubicek is a rally driver from the Czech Republic, known for his skillful control and competitive spirit in various rally championships. Based in the Czech motorsport scene, Lukass has consistently proven his capabilities on challenging tracks, gaining recognition in national and regional rally events. His commitment to rally racing and dedication to improving his technique have made him a respected figure in the motorsports community.""",Rally,Motor Sports,lukass.kubicek,,⭐ Be The Best In Rally,,,,,https://media.peaxel.me/116.png,https://media.peaxel.me/115.png,,Prague,"Winner - Czech National Rally Championship, April 2023","Top 5 Finish - Rally Bohemia, July 2022","Podium Finish - Rally Pilsen, September 2021","Second Place - Central European Rally Cup, October 2020","Participant - European Rally Championship, August 2019",🇨🇿 Czech Republic,1993-07-05,https://media.peaxel.me/kubicek.mp4
liamheinzel,"Liam Heinzel is an Australian freestyle motocross (FMX) rider, stunt performer, and entrepreneur. Growing up on a cattle farm in Eugowra, New South Wales, he developed a passion for motorcycles and extreme sports. Liam is the founder of Mad Style Moto, a community and e-commerce platform dedicated to stunt riding. He has showcased his skills in various events and media, including a feature on the Lifesaurus podcast in February 2024, where he discussed his journey from 800 to 100,000 Instagram followers in one year. In addition to his FMX career, Liam is the founder of Grounded Coring, an all-terrain precision soil sampling service. In October and November 2023, he led a 10,000-kilometer expedition across the Australian outback, supporting FarmLab's National Soil Carbon Innovation Challenge program. This initiative aimed to advance carbon measurement technologies and reduce the cost of baselining a farm’s soil carbon. Liam's diverse pursuits highlight his commitment to both extreme sports and environmental sustainability.",Motorcycle FMX,Motor Sports,liamheinzel,Liamheinzel,⭐ Be The Best In Motorcycle FMX,LiamHeinzel,,,,https://media.peaxel.me/new_liamheinzel_card.png,https://media.peaxel.me/29.png,Mad Style Moto,Eugowra,,,,,,🇦🇺 Australia,2002-11-04,https://media.peaxel.me/liamheinzel.mp4
markymath,"Mark Matthews, born in 1987 in Victoria, British Columbia, is a renowned professional mountain biker known for his contributions to freeride and trail building. Growing up on Vancouver Island, Mark developed a passion for mountain biking at a young age, leading him to transform an empty lot into the North Saanich Freeride Park in 2004. This community-driven project has since become a progressive riding facility catering to all skill levels. As a professional rider, Mark has been an ambassador for brands like Marin Bikes and Hydro Flask, showcasing his adventures and trail-building projects through captivating videos and drone footage. His dedication to the sport and community has left a lasting impact on the mountain biking scene in Canada and beyond.",Mountain Biking,Extreme Sports,markymath,markymath,🚵‍♂️⛰️ Conquer epic trails and elevate your ride to new heights,,,,,https://media.peaxel.me/60.png,https://media.peaxel.me/59.png,Marin Bikes,Victoria,Initiated the North Saanich Freeride Park project in 2004,Ambassador for Marin Bikes since 2017,Featured in 'Singletrack Mind: Meet the Biker Leaving a Legacy in Dirt' article in 2019,Produced high-energy drone footage of British Columbia trails in October 2024,Explored the largest rock slabs in British Columbia in October 2024,🇨🇦 Canada,1987-12-11,https://media.peaxel.me/markymath.mp4
Master_Han_TV,"Master Taeyoung Han is a distinguished Taekwondo practitioner and instructor with over 30 years of experience in the martial art. He holds a 5th Dan black belt, certified by Taekwondo Canada, and has dedicated 14 years to teaching. A former Korean National Champion, Master Han has also served as a coach for the Canadian national team, leading athletes at the 2017 Junior Pan American Championships and the 2018 Senior World Taekwondo Grand Slam. Currently, he is the Head Instructor at Master Myung's Taekwondo Academy in Markham, Ontario, where he imparts his extensive knowledge and passion for Taekwondo to students of all ages.",Taekwondo,Fight Sports,Master_Han_TV,,"🥋 Train athletes for 2032 Olympics, aiming for success",,,,,https://media.peaxel.me/40.png,https://media.peaxel.me/39.png,Master Myung's Taekwondo Academy,Markham,Former Korean National Champion,2017 Junior Pan American Championships Canada Team Coach,2018 Senior World Taekwondo Grand Slam Canada Team Coach,,,🇰🇷 South Korea,,https://media.peaxel.me/master_han_tv.mp4
melnyk_tetyana__,"Tetyana Yuriivna Melnyk, born in Oleksandrivka, Ukraine, is a distinguished Ukrainian track and field athlete specializing in the 400 meters and 400 meters hurdles. Standing at 1.85 meters and weighing 63 kilograms, Melnyk has represented Ukraine in multiple international competitions, including the 2016, 2020, and 2024 Summer Olympics. She achieved a personal best of 51.92 seconds in the 400 meters in 2016 and 57.40 seconds in the 400 meters hurdles the same year. Melnyk's career highlights include a bronze medal in the 4×400 meters relay at the 2017 European Indoor Championships and a gold medal in the same event at the 2019 Universiade in Naples. She has consistently demonstrated exceptional athleticism and dedication, contributing significantly to Ukraine's presence in international track and field events.",Track and Field,Olympic Sports,melnyk_tetyana__,,⭐ Be The Best In Track and Field,,,,,https://media.peaxel.me/174.png,https://media.peaxel.me/173.png,,,"Bronze Medal – 4×400m Relay, European Indoor Championships, March 5, 2017","Gold Medal – 4×400m Relay, Universiade, July 13, 2019","5th Place – 4×400m Relay, Olympic Games, August 20, 2016","6th Place – 4×400m Relay, World Championships, October 5, 2019","4th Place – 4×400m Relay, World Indoor Championships, March 4, 2018",🇺🇦 Ukraine,,https://media.peaxel.me/melnyktetiana.mp4
meyerkevin,"Kevin Meyer is a French mountain biker known for his dynamic presence in the mountain biking community. He has showcased his skills in various events, including a notable performance at the Brumath Bike Festival on October 6, 2024, where he delivered an impressive BMX show. Kevin actively shares his biking experiences and stunts on social media platforms, engaging with a broad audience. His participation in events like the DH Urbaine Grenoble highlights his commitment to the sport and his ability to perform complex maneuvers, such as backflips, in urban downhill settings. Kevin's dedication to mountain biking is evident through his consistent involvement in festivals and competitions across France."",
",Mountain Biking,Extreme Sports,kevin_meyer,,⭐ Be The Best In Mountain Biking,,meyerkevin,,,https://media.peaxel.me/16.png,https://media.peaxel.me/15.png,,,"Featured Performer at Brumath Bike Festival - October 6, 2024","Participant in DH Urbaine Grenoble, France - May 29, 2024",Active Contributor to Mountain Biking Community Events,,,🇫🇷 France,1991-04-05,https://media.peaxel.me/kevinmeyer.mp4
okanapk,"Jesús Ocaña is a dedicated parkour athlete from Spain, known for his agility and speed in navigating complex urban environments. He has competed in various national competitions, showcasing his skills in both speed and freestyle disciplines. Notably, Jesús secured second place in the speed category at the Parkour Spain Series held in Madrid in October 2022, completing the course in 28.45 seconds. His commitment to the sport is evident through his active participation in events and his continuous pursuit of excellence in parkour.",Parkour,Extreme Sports,okanapk,,⭐ Be The Best In Parkour,,,,,https://media.peaxel.me/80.png,https://media.peaxel.me/79.png,,,Silver Medalist in Speed Category in 2022,Parkour Spain Series in 2022,,,SUPERSYNCH,🇪🇸 Spain,1997-10-26,https://media.peaxel.me/okanapk.mp4
olg1289,"Olga Kartashova is a highly skilled aerial gymnast known for her extraordinary talent and artistry in aerial sports. Hailing from Russia, she has made a name for herself in the world of aerial silks, aerial hoop, and other aerial disciplines. Olga's background in gymnastics and dance seamlessly blends into her aerial performances, allowing her to captivate audiences with her strength, flexibility, and fluid movements.

Olga Kartashova began training at a young age and quickly developed a passion for aerial arts, impressing coaches and mentors with her dedication and natural ability. Over the years, she honed her skills through intensive training and competing in various international competitions, where she earned recognition for her innovative routines and breathtaking performances.

Her style is characterized by a combination of grace, strength, and technical precision. Olga is known for pushing the boundaries of aerial gymnastics, often incorporating unique elements into her routines that challenge traditional aerial forms. Her performances are celebrated for their emotional depth and storytelling, creating a powerful connection with her audience.

As a competitor and performer, Olga Kartashova continues to inspire aspiring aerial artists around the world, showcasing the beauty and athleticism of aerial gymnastics.",Aerial gymnastics,Performances & Arts,olg1289,,⭐ Be The Best In Aerial gymnastics,olga.kartashova,,olga_kartashova,olga-kartashova,https://media.peaxel.me/8.png,https://media.peaxel.me/9-9.png,Moscow Aerial Arts Academy,Moscow,Gold Medalist at the International Aerial Arts Festival,Best Performance Award at the Moscow Circus Festival,First Place in Aerial Silks at the European Aerial Championships,Recipient of the Russian Federation's Artist of Merit,Silver Medalist at the World Aerial Gymnastics Competition,🇷🇺 Russia,1994-07-22,https://media.peaxel.me/olg1289.mp4
owentangavelou,"Owen Tangavelou, born on March 4, 2005, in Clamart, France, is a French-Vietnamese racing driver who began his motorsport career at the age of 14. He debuted in the French F4 Championship in 2020, finishing 12th overall. In 2021, he improved to fifth place, securing two podiums and two fastest laps. In 2022, Tangavelou competed in the Formula Regional Asian Championship with Hitech Grand Prix and later joined G4 Racing for the Formula Regional European Championship (FREC), finishing 20th in the standings. The following year, he raced for Trident in FREC, achieving two top-five finishes and ending the season 14th overall. In 2024, Tangavelou joined MP Motorsport to compete in the Eurocup-3 series, aiming to leverage his experience and continue his progression in single-seater racing.",Car racing,Motor Sports,nguyen_owen_tangavelou,,⭐ Be The Best In Car racing,,,,,https://media.peaxel.me/72.png,https://media.peaxel.me/71.png,MP Motorsport,,4th place in French F4 Championship - 2021,Podium finish in French F4 Championship - 2021,Fastest lap in French F4 Championship - 2021,Top-five finish in Formula Regional European Championship - 2023,Rookie podium in Formula Regional Asian Championship - 2022,🇻🇳 Vietnam,2005-03-04,
Raulo_garcia,"Raul Garcia is a renowned big wave surfer from Argentina, known for his fearless approach to conquering massive waves. Over the years, Raul has gained respect in the global surfing community for his skill, resilience, and ability to tackle some of the most challenging waves worldwide. Based in Argentina, he frequently travels to famous big wave locations, pushing the limits of big wave surfing and inspiring others with his dedication and passion for the sport.",Big Wave Surfing,Water Sports,Raulo_garcia,,⭐ Be The Best In Big Wave Surfing,,,,,https://media.peaxel.me/114.png,https://media.peaxel.me/113.png,Argentina Big Wave Surf Team,Buenos Aires,"Top 5 Finish - Big Wave Surfing Championship, Hawaii - December 2022","Participant - World Surf League Big Wave Tour, Mexico - August 2022",Winner - Argentina National Big Wave Championship - April 2021,"Third Place - South American Big Wave Challenge, Brazil - June 2019","Finalist - Big Wave Invitational, Chile - October 2018",🇦🇷 Argentina,1990-03-28,https://media.peaxel.me/raulo_garcia.mp4
roni_balbul,"Roni Balbul is an Israeli kiteboarder recognized for her dynamic presence in the kitesurfing community. She has been featured in various kitesurfing videos, showcasing her skills and passion for the sport. Notably, Roni has collaborated with 'The Kite Shots' on TikTok, where she is highlighted as a smooth rider taking on the waves. Additionally, she has been welcomed to the Vantage rider team, further cementing her status in the kitesurfing world.",Kiteboarding,Water Sports,ronibalbul,,⭐ Be The Best In Kiteboarding,,,,,https://media.peaxel.me/6.png,https://media.peaxel.me/5.png,,,,,,,,🇮🇱 Israel,1998-05-06,https://media.peaxel.me/ronibalbul.mp4
Sahlibilal,"Bilal Sahli, known as 'Shuriken' in the parkour community, is a prominent Moroccan parkour athlete hailing from Kenitra. He began his journey in 2005 after being inspired by videos of David Belle, the founder of parkour. Initially training solo, Bilal's passion led him to connect with like-minded individuals, resulting in the formation of 'Helala Parkour' in 2007. His dedication to the sport is evident through his participation in various national competitions, securing notable placements. In 2015, Bilal co-founded 'UP Movement,' a team that became the first Moroccan group sponsored by the World Freerunning Parkour Federation (WFPF). His achievements include being the first Arab athlete to surpass the initial stage of 'Ninja Warrior Arabia' in 2017, setting a remarkable record. Beyond his athletic pursuits, Bilal contributes to the parkour community as the head of the Parkour committee and technical director of the Fédération Royale Marocaine de Skate, Roller, Trottinette et Sports Urbains (FRMSU).",Parkour,Extreme Sports,Sahlibilal,,⭐ Be The Best In Parkour,Bilalsahlii,,,,https://media.peaxel.me/84.png,https://media.peaxel.me/83.png,UP Movement,Kenitra,"Silver Medal at the World Urban Sports Championship in Manila, Philippines - August 2022
   ",First Arab athlete to pass the initial stage of 'Ninja Warrior Arabia' - 2017,"Second Place at the Morocco Parkour Day Championship in Meknes, Morocco - September 2017","Third Place at the National Parkour Competition in Meknes, Morocco - 2013","First Place at the National Parkour Competition in Kenitra, Morocco - 2010",🇲🇦 Morocco,1992-01-18,https://media.peaxel.me/sahlibilal.mp4
